Date_reported,iso_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days,YearQuarter
2024-12-15,BRN,BRUNEI DARUSSALAM,WPR,6.0,0.0,22.0,1.0,2024Q4
2024-12-15,CHL,CHILE,AMR,44.0,3.0,179.0,13.0,2024Q4
2024-12-15,COL,COLOMBIA,AMR,21.0,,58.0,,2024Q4
2024-12-15,CRI,COSTA RICA,AMR,1.0,0.0,8.0,2.0,2024Q4
2024-12-15,CZE,CZECHIA,EUR,82.0,9.0,298.0,20.0,2024Q4
2024-12-15,DNK,DENMARK,EUR,134.0,,481.0,,2024Q4
2024-12-15,DMA,DOMINICA,AMR,0.0,,0.0,,2024Q4
2024-12-15,ECU,ECUADOR,AMR,27.0,2.0,42.0,2.0,2024Q4
2024-12-15,EST,ESTONIA,EUR,99.0,11.0,327.0,40.0,2024Q4
2024-12-15,FRA,FRANCE,EUR,12.0,9.0,58.0,55.0,2024Q4
2024-12-15,GRC,GREECE,EUR,514.0,9.0,2337.0,41.0,2024Q4
2024-12-15,GTM,GUATEMALA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-15,GUY,GUYANA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-15,HTI,HAITI,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-15,HND,HONDURAS,AMR,0.0,0.0,1.0,0.0,2024Q4
2024-12-15,HUN,HUNGARY,EUR,21.0,3.0,89.0,11.0,2024Q4
2024-12-15,ITA,ITALY,EUR,405.0,24.0,1676.0,83.0,2024Q4
2024-12-15,LVA,LATVIA,EUR,40.0,,151.0,,2024Q4
2024-12-15,LTU,LITHUANIA,EUR,62.0,0.0,195.0,3.0,2024Q4
2024-12-15,MYS,MALAYSIA,WPR,109.0,1.0,431.0,4.0,2024Q4
2024-12-15,MLT,MALTA,EUR,1.0,,20.0,1.0,2024Q4
2024-12-15,MRT,MAURITANIA,AFR,0.0,0.0,0.0,0.0,2024Q4
2024-12-15,MUS,MAURITIUS,AFR,2.0,0.0,7.0,0.0,2024Q4
2024-12-15,MEX,MEXICO,AMR,9.0,2.0,39.0,3.0,2024Q4
2024-12-15,NZL,NEW ZEALAND,WPR,111.0,5.0,409.0,20.0,2024Q4
2024-12-15,MKD,NORTH MACEDONIA,EUR,0.0,,0.0,,2024Q4
2024-12-15,PAN,PANAMA,AMR,6.0,,18.0,0.0,2024Q4
2024-12-15,POL,POLAND,EUR,46.0,1.0,146.0,1.0,2024Q4
2024-12-15,PRT,PORTUGAL,EUR,18.0,0.0,95.0,7.0,2024Q4
2024-12-15,RUS,RUSSIAN FEDERATION,EUR,2850.0,,10533.0,,2024Q4
2024-12-15,LCA,SAINT LUCIA,AMR,0.0,,0.0,,2024Q4
2024-12-15,SGP,SINGAPORE,WPR,132.0,1.0,537.0,10.0,2024Q4
2024-12-15,SVK,SLOVAKIA,EUR,16.0,,109.0,3.0,2024Q4
2024-12-15,ESP,SPAIN,EUR,1.0,,6.0,,2024Q4
2024-12-15,SUR,SURINAME,AMR,0.0,,0.0,,2024Q4
2024-12-15,SWE,SWEDEN,EUR,,6.0,,24.0,2024Q4
2024-12-15,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,,0.0,,2024Q4
2024-12-15,UKR,UKRAINE,EUR,0.0,0.0,5.0,1.0,2024Q4
2024-12-15,USA,UNITED STATES OF AMERICA,AMR,815.0,,2757.0,,2024Q4
2024-12-15,URY,URUGUAY,AMR,36.0,2.0,154.0,14.0,2024Q4
2024-12-08,ARG,ARGENTINA,AMR,62.0,,361.0,,2024Q4
2024-12-08,BIH,BOSNIA AND HERZEGOVINA,EUR,4.0,0.0,10.0,0.0,2024Q4
2024-12-08,BRA,BRAZIL,AMR,630.0,195.0,2239.0,753.0,2024Q4
2024-12-08,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-08,BRN,BRUNEI DARUSSALAM,WPR,5.0,0.0,22.0,3.0,2024Q4
2024-12-08,CHL,CHILE,AMR,47.0,2.0,170.0,15.0,2024Q4
2024-12-08,COL,COLOMBIA,AMR,12.0,,55.0,,2024Q4
2024-12-08,CRI,COSTA RICA,AMR,3.0,1.0,11.0,2.0,2024Q4
2024-12-08,CZE,CZECHIA,EUR,69.0,4.0,291.0,17.0,2024Q4
2024-12-08,DNK,DENMARK,EUR,144.0,,450.0,,2024Q4
2024-12-08,DMA,DOMINICA,AMR,0.0,,0.0,,2024Q4
2024-12-08,ECU,ECUADOR,AMR,12.0,0.0,20.0,0.0,2024Q4
2024-12-08,EST,ESTONIA,EUR,83.0,10.0,291.0,34.0,2024Q4
2024-12-08,FRA,FRANCE,EUR,12.0,12.0,58.0,56.0,2024Q4
2024-12-08,GRC,GREECE,EUR,632.0,13.0,2354.0,40.0,2024Q4
2024-12-08,GTM,GUATEMALA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-08,GUY,GUYANA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-08,HTI,HAITI,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-08,HND,HONDURAS,AMR,0.0,0.0,1.0,0.0,2024Q4
2024-12-08,HUN,HUNGARY,EUR,21.0,3.0,92.0,10.0,2024Q4
2024-12-08,ITA,ITALY,EUR,427.0,20.0,1721.0,74.0,2024Q4
2024-12-08,LVA,LATVIA,EUR,40.0,,165.0,,2024Q4
2024-12-08,LTU,LITHUANIA,EUR,41.0,1.0,206.0,4.0,2024Q4
2024-12-08,MYS,MALAYSIA,WPR,102.0,1.0,416.0,4.0,2024Q4
2024-12-08,MLT,MALTA,EUR,8.0,,20.0,1.0,2024Q4
2024-12-08,MRT,MAURITANIA,AFR,0.0,0.0,0.0,0.0,2024Q4
2024-12-08,MUS,MAURITIUS,AFR,2.0,0.0,7.0,0.0,2024Q4
2024-12-08,MEX,MEXICO,AMR,14.0,0.0,44.0,2.0,2024Q4
2024-12-08,NZL,NEW ZEALAND,WPR,97.0,3.0,387.0,19.0,2024Q4
2024-12-08,MKD,NORTH MACEDONIA,EUR,0.0,,0.0,,2024Q4
2024-12-08,PAN,PANAMA,AMR,8.0,0.0,13.0,0.0,2024Q4
2024-12-08,POL,POLAND,EUR,66.0,,108.0,,2024Q4
2024-12-08,PRT,PORTUGAL,EUR,27.0,2.0,106.0,7.0,2024Q4
2024-12-08,RUS,RUSSIAN FEDERATION,EUR,2758.0,,9660.0,,2024Q4
2024-12-08,LCA,SAINT LUCIA,AMR,0.0,,0.0,,2024Q4
2024-12-08,SGP,SINGAPORE,WPR,163.0,5.0,515.0,12.0,2024Q4
2024-12-08,SVK,SLOVAKIA,EUR,20.0,,122.0,5.0,2024Q4
2024-12-08,ESP,SPAIN,EUR,3.0,,5.0,,2024Q4
2024-12-08,SUR,SURINAME,AMR,0.0,,1.0,,2024Q4
2024-12-08,SWE,SWEDEN,EUR,,5.0,,21.0,2024Q4
2024-12-08,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,,0.0,,2024Q4
2024-12-08,UKR,UKRAINE,EUR,2.0,0.0,7.0,2.0,2024Q4
2024-12-08,USA,UNITED STATES OF AMERICA,AMR,738.0,,2515.0,,2024Q4
2024-12-08,URY,URUGUAY,AMR,35.0,2.0,160.0,15.0,2024Q4
2024-12-01,ARG,ARGENTINA,AMR,79.0,,443.0,,2024Q4
2024-12-01,BIH,BOSNIA AND HERZEGOVINA,EUR,2.0,0.0,6.0,0.0,2024Q4
2024-12-01,BRA,BRAZIL,AMR,597.0,201.0,2025.0,712.0,2024Q4
2024-12-01,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-01,BRN,BRUNEI DARUSSALAM,WPR,5.0,0.0,24.0,3.0,2024Q4
2024-12-01,CHL,CHILE,AMR,50.0,3.0,160.0,13.0,2024Q4
2024-12-01,COL,COLOMBIA,AMR,12.0,,63.0,,2024Q4
2024-12-01,CRI,COSTA RICA,AMR,0.0,0.0,13.0,1.0,2024Q4
2024-12-01,CYP,CYPRUS,EUR,18.0,,80.0,3.0,2024Q4
2024-12-01,CZE,CZECHIA,EUR,70.0,4.0,323.0,19.0,2024Q4
2024-12-01,DNK,DENMARK,EUR,105.0,,423.0,,2024Q4
2024-12-01,DMA,DOMINICA,AMR,0.0,,0.0,,2024Q4
2024-12-01,ECU,ECUADOR,AMR,2.0,0.0,14.0,0.0,2024Q4
